Article Title,Author Keywords,Publication Date,Publication Year,
"Design, synthesis, and evaluation of mono-carbonyl analogues of curcumin (MCACs) as potential antioxidants against periodontitis",Antioxidants; Curcumin; Mono&#8208; carbonyl analogues of curcumin (MCACs); Nuclear factor erythroid 2&#8208; related factor 2 (Nrf2); periodontal disease,,,
TNF alpha expression by Porphyromonas gingivalis-stimulated macrophages relies on Sirt1 cleavage,Porphyromonas gingivalis; RelA; Sirt1; TNF&#945,,,
Effect of vitamin D-3 on the osteogenic differentiation of human periodontal ligament stromal cells under inflammatory conditions,mesenchymal stromal cells; osteogenesis; periodontal ligament; vitamin D,,,
Optimizing citric acid protocol to control implant-related infections: An in vitro and in situ study,citric acid; decontamination; implants; peri&#8208; implantitis,,,
LncRNA DCST1-AS1 inhibits PDLCs' proliferation in periodontitis and may bind with miR-21 precursor to upregulate PLAP-1,DCST1&#8208; AS1; miR&#8208; 21; periodontal ligament cells; periodontitis; PLAP&#8208; 1,,,
Survival rate and potential risk indicators of implant loss in non-smokers and systemically healthy periodontitis patients: An up to 9-year retrospective study,dental implant; periodontitis; risk indicator; survival rate,,,
Ingestion of Porphyromonas gingivalis exacerbates colitis via intestinal epithelial barrier disruption in mice,intestinal epithelial cells; Porphyromonas gingivalis; tight junction proteins,,,
"Proteoglycans in the periodontium: A review with emphasis on specific distributions, functions, and potential applications",distributions; functions; glycosaminoglycans; mechanics; periodontium; proteoglycans,,,
"Effects of smoking on the gingival crevicular fluid levels of interleukin-17A, interleukin-17E, and oxidative stress following periodontal treatment process",IL-17A; IL-17E; periodontal disease; periodontal treatment/therapy; smoking; total anti-oxidant capacity; total oxidative stress,,,
The role of CRISPR-Cas in advancing precision periodontics,Cas9; CRISPR; periodontal disease; precision periodontics,,,
ODAM promotes junctional epithelium-related gene expression via activation of WNT1 signaling pathway in an ameloblast-like cell line ALC,ameloblast; junctional epithelium; ODAM; WNT1,,,
Antioxidants protect against gingival overgrowth induced by cyclosporine A,antioxidant; cyclosporine A; gingival overgrowth; reactive oxygen species; TGF-beta 1; type II epithelial and mesenchymal transition,,,
Metagenomic sequencing provides new insights into the subgingival bacteriome and aetiopathology of periodontitis,bacteriome; bioinformatics; dysbiosis; microbiology; microbiota; periodontitis,,,
IFN-gamma or IL-4 polarization impacts the response of gingival fibroblasts to oral bacteria,chemokines; fibroblast; Fusobacterium nucleatum; imflammatory mediator; innate immunology; Porphyromonas gingivalis,,,
Activated KCNQ1 channel promotes fibrogenic response in hereditary gingival fibromatosis via clustering and activation of Ras,extracellular matrix; fibrosis; gingival overgrowth; ion channel; Ras,,,
Association between periodontitis and the Mediterranean diet in young Moroccan individuals,cross&#8208; sectional study; diet; epidemiology; periodontal diseases,,,
Porphyromonas gingivalis facilitated the foam cell formation via lysosomal integral membrane protein 2 (LIMP2),atherosclerosis; lysosomal integral membrane protein 2; P. gingivalis; periodontitis,,,
A population-based cross-sectional study of the association between periodontitis and arterial stiffness among the older Japanese population,aged; atherosclerosis; epidemiology; periodontal diseases,,,
Association between TNF-alpha G-308A (rs1800629) polymorphism and susceptibility to chronic periodontitis and type 2 diabetes mellitus: A meta-analysis,chronic periodontitis; meta&#8208; analysis; tumor necrosis factor&#8208; &#945; (TNF&#8208; &#945; ); type 2 diabetes mellitus,,,
Association of probable bruxism with periodontal status: A cross-sectional study in patients seeking periodontal care,periodontal disease; periodontal status; periodontitis; probable bruxism; risk factor,,,
The role of strontium ranelate and guided bone regeneration in osteoporotic and healthy conditions,guided bone regeneration; osteoporosis; rats; strontium ranelate,,,
Hydrophilic titanium surface modulates early stages of osseointegration in osteoporosis,dental implant; gene expression; osseointegration; osteoporosis; surface treatment,,,
Oral microbiota and atherothrombotic carotid plaque vulnerability in periodontitis patients. A cross-sectional study,atherothrombosis; carotid microbiome; neutrophils; next&#8208; generation sequencing; oral microbiota; periodontitis,,,
Remnant oral biofilm and microorganisms after autoclaving sterilization of retrieved healing abutments,biofilm; disinfection; healing abutment; sterilization,,,
MiR-153-3p inhibits osteogenic differentiation of periodontal ligament stem cells through KDM6A-induced demethylation of H3K27me3,KDM6A; miR&#8208; 153&#8208; 3p; osteogenic differentiation; PDLSCs,,,
Gingival overgrowth induced by anticonvulsant drugs: A cross-sectional study on epileptic patients,epilepsy; gingival hyperplasia; oral health; periodontal diseases,,,
Effects of combined use of recombinant human fibroblast growth factor-2 and beta-tricalcium phosphate on ridge preservation in dehiscence bone defects after tooth extraction: A split-mouth study in dogs,beagle dog; beta&#8208; tricalcium phosphate; rhFGF&#8208; 2; ridge preservation,,,
Periodontal inflammation triggers a site-specific and wide radius of calcium metabolic effects on alveolar bone,animal study; bone remodeling; calcium metabolism; periodontitis,,,
Adjunctive systemic antimicrobials in the treatment of chronic periodontitis: A systematic review and network meta-analysis,anti&#8208; infective agents; chronic periodontitis; network meta&#8208; analysis; root planing; systematic review,,,
Low association between bleeding on probing propensity and the salivary aMMP-8 levels in adolescents with gingivitis and stage I periodontitis,adolescent; diagnosis; gingival bleeding on probing; periodontitis,,,
Mechanisms involved in regulation of periodontal ligament cell production of pro-inflammatory cytokines: Implications in periodontitis,inflammation; innate immunity; NF&#8208; &#954; B; periodontitis,,,
Renal alterations caused by ligature-induced periodontitis persist after ligature removal in rats,inflammation; kidney; periodontal disease; periodontal medicine,,,
microRNAs in inflammatory alveolar bone defect: A review,bone resorption; inflammation; microRNA; peri&#8208; implantitis; periodontitis,,,
"RETRACTION: Role of toll-like receptor 2 in inflammation and alveolar bone loss in experimental peri-implantitis versus periodontitis (Retraction of Vol 53, Pg 98, 2017)",,JAN,2021,
Autophagy and its significance in periodontal disease,alveolar bone resorption; autophagy; inflammation; periodontal disease; periodontal pathogens; the immune response,JAN,2021,
High-mobility group box 1 released by traumatic occlusion accelerates bone resorption in the root furcation area in mice,bone resorption; high&#8208; mobility group box 1; osteocyte; traumatic occlusion,JAN,2021,
Comparative proteomic analysis of dental cementum from deciduous and permanent teeth,deciduous teeth; immunohistochemistry; periodontal tissues; permanent teeth; proteomics; root cementum,JAN,2021,
Treatment with functionalized designer self-assembling peptide hydrogels promotes healing of experimental periodontal defects,angiogenesis; cell proliferation; functionalized motif; periodontal defect; self-assembling peptide,JAN,2021,
Development of an in vitro model of the dentogingival junction using 3D organotypic constructs,epithelial-mesenchymal interactions; periodontal,JAN,2021,
Mutual promotions between periodontitis and vascular calcification by rat animal model,animal model; inflammatory cytokines; periodontitis; vascular calcification,DEC,2020,
A systematic review on bacterial community changes after periodontal therapy with and without systemic antibiotics: An analysis with a wider lens,antibiotics; microbiology; non-surgical periodontal therapy; periodontal microbiota; systematic review; meta-analysis,DEC,2020,
"Effect of resveratrol on the progression of experimental periodontitis in an ovariectomized rat model of osteoporosis: Morphometric, immune-enzymatic, and gene expression analysis",alveolar bone loss; anti-inflammatory; estrogen deficiency; inflammation; periodontitis; resveratrol; zoledronic acid,DEC,2020,
Periodontal disease and quality of life: Umbrella review of systematic reviews,gingivitis; health-related quality of life; oral health-related quality of life; periodontal disease; periodontitis,JAN,2021,
Cellular ageing of oral fibroblasts differentially modulates extracellular matrix organization,ageing; extracellular matrix; fibroblasts; second harmonic generation imaging; senescence,JAN,2021,
Melatonin is an effective protector of gingival cells damaged by the cytotoxic effect of glutamate and DL-buthionine sulfoximine,cellular damage model; gingival cell culture; melatonin; periodontal disease,JAN,2021,
"The effect of a behavioural management tool in adults with mild to moderate periodontitis. A single-blind, randomized controlled trial",behavioural management; dental hygiene; oral health; periodontitis,JAN,2021,
Interaction between and impact of IL-6 genotype and alpha-tocopherol levels on periodontal condition in aging individuals,epidemiology; IL-6genotype; periodontal condition; serum alpha-tocopherol levels,JAN,2021,
Caspase inhibitor attenuates the shape changes in the alveolar ridge following tooth extraction: A pilot study in rats,atrophy; buccal bone; caspase inhibitor; osteocytes; resorption; ridge preservation; socket preservation; tooth extraction,JAN,2021,
Impact of Notch signalling molecules and bone resorption regulators on clinical parameters in periodontitis,aggressive periodontitis; clinical parameters; gene expression; Notch signalling,JAN,2021,
Calprotectin levels in gingival crevicular fluid and serum of patients with chronic periodontitis and type 2 diabetes mellitus before and after initial periodontal therapy,calprotectin; infection control; periodontitis; type 2 diabetes mellitus,JAN,2021,
"Increased levels of interleukin-32 isoforms alpha, beta, gamma, and delta in the gingival crevicular fluid and plasma of the patients with periodontitis",gingival crevicular fluid; IL-32 isoforms; interleukin-32; periodontitis; plasma,JAN,2021,
Differential regulation of epithelial growth by gingival and periodontal fibroblasts in vitro,epithelial-mesenchymal interactions; periodontal,DEC,2020,
Microbial and host-derived biomarker changes during ligature-induced and spontaneous peri-implantitis in the Beagle dog,biomarker; fusobacterium nucleatum; peri-implantitis; dental implant; endosseous implant,JAN,2021,
Expression of inflammatory biomarkers and growth factors in gingival crevicular fluid at different healing intervals following non-surgical periodontal treatment: A systematic review,gingival crevice fluid; non-surgical periodontal therapy; periodontal healing,DEC,2020,
Peripheral neutrophil phenotypes during management of periodontitis,granulocyte precursor cells; periodontal debridement; periodontitis; suppressive neutrophils,JAN,2021,
Identification of regulatory mRNA and microRNA for differentiation into cementoblasts and periodontal ligament cells,cementogenesis; mesenchymal stem cells; periodontal ligament cells; periodontal regeneration,JAN,2021,
Local and systemic levels of aMMP-8 in gingivitis and stage 3 grade C periodontitis,gingival crevicular fluid; gingivitis; matrix metalloproteinases; periodontitis; saliva; serum,DEC,2020,
Gingival tissue autophagy pathway gene expression profiles in periodontitis and aging,autophagy; gene expression; nonhuman primates; periodontitis,JAN,2021,
Dual delivery of platelet-derived growth factor and bone morphogenetic factor-6 on titanium surface to enhance the early period of implant osseointegration,bone morphogenetic factor-6; bone regeneration; dental implant; nanotechnology; nanotubes; osseointegration; osteoblast; platelet-derived growth factor; sequential release; silk fibroin,OCT,2020,
Untitled Reply,,JAN,2021,
To what extent does smoking affect gingival bleeding response to supragingival plaque? Site-specific analyses in a population-based study,,JAN,2021,
A peptide coating preventing the attachment ofPorphyromonas gingivalison the surfaces of dental implants,bone loss; inflammation; Mucositis; peri-implantitis; plaque,AUG,2020,
"Salivary Del-1, IL-17, and LFA-1 levels in periodontal health and disease",cytokines; interleukin-17; lymphocyte function-associated antigen-1; periodontitis; saliva,AUG,2020,
Association between human cytomegalovirus and periodontitis: A systematic review and meta-analysis,apical periodontitis; case-control; cross-sectional; periodontitis; subgingival cytomegalovirus; systematic review,AUG,2020,
Sex differences in the association between obesity and gingivitis among 12-year-old South Brazilian schoolchildren,cross-sectional study; epidemiology; gingivitis; obesity; prevalence,AUG,2020,
Peri-implant myelinated nerve fibers: Histological findings in dogs,dental implants; histology; immediate dental implant loading; myelinated; nerve fibers,AUG,2020,
Mast cells exhibit intracellular microbicidal activity againstAggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans; hydrogen peroxide; mast cells; nitric oxide,OCT,2020,
How Tony Melcher advanced our understanding of periodontal biology and regeneration,Biography; cell attachment; cell culture methods; collagen remodeling; progenitor cells; regeneration,DEC,2020,
Retrospectively analysed tooth loss in periodontally compromised patients: Long-term results 10 years after active periodontal therapy-Patient-related outcomes,long-term success; periodontal risk factors; supportive periodontal therapy; tooth loss,DEC,2020,
Complement split product C3c in saliva as biomarker for periodontitis and response to periodontal treatment,complement component 3; intervention; periodontitis; saliva,JAN,2021,
Prevalence and severity of periodontal disease in a historical Austrian population,alveolar bone loss; archaeological population; Austria; Avars; periodontal disease; root caries,DEC,2020,
"Genetic polymorphisms in theInterleukins IL1B, IL4,andIL6are associated with concomitant periodontitis and type 2 diabetes mellitus in Brazilian patients",interleukin-1beta; interleukin-4; interleukin-6; periodontal diseases; single nucleotide polymorphism,DEC,2020,
Topical sodium alendronate combined or not with photodynamic therapy as an adjunct to scaling and root planing: Histochemical and immunohistochemical study in rats,collagen; osteoclast; periodontal therapy; photochemotherapy,DEC,2020,
Relationship of periodontitis and edentulism to angiographically diagnosed coronary artery disease: A cross-sectional study,coronary angiography; coronary artery disease; edentulism; periodontal disease; periodontitis,DEC,2020,
Detection of association between periodontitis and polymorphisms of IL-1 beta+3954 and TNF-alpha-863 in the Korean population after controlling for confounding risk factors,interleukin-1; periodontitis; single nucleotide polymorphism; tumor necrosis factor-alpha,DEC,2020,
Effects of intermittent treatment with parathyroid hormone (PTH) on osteoblastic differentiation and mineralization of mouse induced pluripotent stem cells in a 3D culture model,atelocollagen; induced pluripotent stem cells; osteoblastic differentiation; parathyroid hormone,OCT,2020,
Relationship between periodontal disease and lung cancer: A systematic review and meta-analysis,cohort studies; edentulism; lung neoplasm; meta-analysis; periodontal diseases; periodontitis,OCT,2020,
"The presence of neutrophils causes RANKL expression in periodontal tissue, giving rise to osteoclast formation",neutrophils; osteoclasts; periodontitis; RANKL,DEC,2020,
Alpha-terpineol complexed with beta-cyclodextrin reduces damages caused by periodontitis in rats,alveolar bone loss; hepatocyte; liver; oral medicine; periodontal disease,DEC,2020,
"Cannabinoid type-2 receptor agonist, inverse agonist, and anandamide regulation of inflammatory responses in IL-1 beta stimulated primary human periodontal ligament fibroblasts",CB2 receptor; chemokine; cytokine; MAPKs; periodontal disease,OCT,2020,
Possible function of GDNF and Schwann cells in wound healing of periodontal tissue,glial cell line-derived neurotrophic factor; osteoblasts; periodontal ligament; schwann cell,DEC,2020,
Anti-inflammatory and macrophage polarization effects of Cranberry Proanthocyanidins (PACs) for periodontal and peri-implant disease therapy,anti-inflammatory agents; cranberry; interleukins; macrophage polarization; peri-implantitis; periodontitis; proanthocyanidin,DEC,2020,
Fibre guiding scaffolds for periodontal tissue engineering,fibre guiding; multiphasic scaffold; periodontal attachment; periodontitis; tissue engineering,JUN,2020,
Regenerative potential of cultured gingival fibroblasts in treatment of periodontal intrabony defects (randomized clinical and biochemical trial),gingival fibroblasts; gingival mesenchymal stem cells; intrabony pockets; periodontal regeneration,JUN,2020,
Glyburide inhibits the bone resorption induced by traumatic occlusion in rats,glyburide; IL-1 beta; NLRP3; NLRP3 inhibitor; occlusal trauma,JUN,2020,
Evaluation of root morphology of maxillary and mandibular second molars lost due to periodontitis,chronic periodontitis; fused roots; Japanese population; radicular groove,OCT,2020,
Galectin-8 mediates fibrogenesis induced by cyclosporine in human gingival fibroblasts,fibrosis; focal adhesion kinase 1; galectins; gingival overgrowth; integrins,OCT,2020,
Mechanical and structural properties of leukocyte- and platelet-rich fibrin membranes: An in vitro study on the impact of anticoagulant therapy,fibrin structure; anticoagulation; leukocyte- and platelet-rich fibrin; mechanical properties; periodontology,OCT,2020,
Fibroblast-enhanced cyclophilin A releasing from U937 cell upregulates MMP-2 in gingival fibroblast,Cyclophilin A; fibroblasts; gingiva; matrix metalloproteinase 2; U937 cells,OCT,2020,
Functional and cell surface characteristics of periodontal ligament cells (PDLCs) on RGD-synthetic polypeptide conjugate coatings,adhesion; osteogenic differentiation; periodontal ligament cells; RGD-peptide conjugates,OCT,2020,
Oral inflammatory load: Neutrophils as oral health biomarkers,biomarkers; inflammation; neutrophils; oral health; periodontitis,OCT,2020,
Cinnamic acid decreases periodontal inflammation and alveolar bone loss in experimental periodontitis,cinnamic acid; liposome; osteoblasts; osteoclasts; periodontitis,OCT,2020,
Effect of sodium ascorbyl phosphate on osteoblast viability and differentiation,collagen I; osteoblast differentiation; periodontitis; sodium ascorbyl phosphate,OCT,2020,
Cystathionine gamma-lyase aggravates periodontal damage in traumatic occlusion mouse models,alveolar bone resorption; cystathionine gamma-lyase; osteoclast; periodontal ligament; traumatic occlusion,OCT,2020,
Phenytoin sodium-ameliorated gingival fibroblast aging is associated with autophagy,aging; autophagy; gingival fibroblast; phenytoin sodium,OCT,2020,
Dynamic viscoelastic behavior of bovine periodontal ligament in compression,dental biomechanics; dynamic mechanical behavior; nonlinear viscoelastic; periodontal ligament,OCT,2020,
LncRNA-01126 inhibits the migration of human periodontal ligament cells through MEK/ERK signaling pathway,lncRNA-01126; MEK; ERK signaling pathway; migration; periodontitis,OCT,2020,
LncRNA MALAT1 regulates inflammatory cytokine production in lipopolysaccharide-stimulated human gingival fibroblasts through sponging miR-20a and activating TLR4 pathway,cytokines; fibroblasts; inflammation; lipopolysaccharide; periodontal disease,APR,2020,
Pyrosequencing of the subgingival microbiome in peri-implantitis after non-surgical mechanical debridement therapy,chlorhexidine; non-surgical mechanical debridement therapy; peri-implantitis; pyrosequencing,APR,2020,
Quantitative characterizations of the Sharpey's fibers of rat molars,periodontal ligament; quantitative characterization; rat molars; Sharpey's fibers,APR,2020,
Association of oral health-related quality of life measures with aggressive and chronic periodontitis,aggressive periodontitis; chronic periodontitis; periodontitis; quality of life,AUG,2020,
Association of vitamin D in patients with periodontitis: A cross-sectional study,cardiovascular disease; coronary disease; cross-sectional studies; periodontal disease; vitamin D,OCT,2020,
Elevated Interleukin-17A expression in amlodipine-induced gingival overgrowth,epithelial mesenchymal transition; fibrosis; gingival overgrowth; Interleukin-17A,OCT,2020,
"Assessment of saliva and gingival crevicular fluid soluble urokinase plasminogen activator receptor (suPAR), galectin-1, and TNF-alpha levels in periodontal health and disease",galectin-1; gingival crevicular fluid; periodontal diseases; saliva; soluble urokinase plasminogen activator receptor,OCT,2020,
Advanced glycation end-products increase lipocalin 2 expression in human oral epithelial cells,AGEs; diabetes mellitus; human oral epithelial cells; lipocalin 2; periodontitis,AUG,2020,
Molecular inflammation and oxidative stress are shared mechanisms involved in both myocardial infarction and periodontitis,autophagy; interleukin-1beta; lipid peroxidation,AUG,2020,
Combination of a biomolecule-aided biphasic cryogel scaffold with a barrier membrane adhering PDGF-encapsulated nanofibers to promote periodontal regeneration,growth factor; guided tissue regeneration; nanofibers; periodontal; tissue scaffolds,AUG,2020,
"Periodontal status, vascular reactivity, and platelet aggregation changes in rats submitted to hypercholesterolemic diet and periodontitis",high cholesterol diet; periodontitis; platelet aggregation; vascular reactivity,JUN,2020,
Ridge reconstruction in damaged extraction sockets using tunnel beta-tricalcium phosphate blocks: A 6-month histological study in beagle dogs,alveolar ridge augmentation; biocompatible materials; dogs; osteogenesis; tooth extraction; beta-tricalcium phosphate,AUG,2020,
"Effect of short-term vitamin D supplementation after nonsurgical periodontal treatment: A randomized, double-masked, placebo-controlled clinical trial",periodontal disease; periodontitis; randomized controlled trial; vitamin D supplementation,JUN,2020,
Poly lactic-co-glycolic acid scaffold loaded with plasmid DNA encoding fibroblast growth factor-2 promotes periodontal ligament regeneration of replanted teeth,fibroblast growth factor-2 (FGF-2); periodontal ligament; poly lactic-co-glycolic acid (PLGA); tissue regeneration; tooth replantation,AUG,2020,
Inflammasomes and their regulation in periodontal disease: A review,autophagy; caspase activation and recruitment domains; inflammasomes; interferons; periodontal disease; pyrin domain; tripartite motif proteins,AUG,2020,
Enhanced dual function of osteoclast precursors following calvarial Porphyromonas gingivalis infection,bone loss; MyD88; osteoclast precursors; Porphyromonas gingivalis,JUN,2020,
"Uncoupled inflammatory, proliferative, and cytoskeletal responses in senescent human gingival fibroblasts",aging; fibroblast; gingiva; senescence,JUN,2020,
DNA methylation profile of genes related to immune response in generalized periodontitis,epigenetic; immunology; methylation; periodontitis,JUN,2020,
Refractory neutrophil activation in type 2 diabetics with chronic periodontitis,chronic periodontitis; diabetes; flow cytometry; inflammation; neutrophils; periodontal immunology,APR,2020,
Three-dimensional ultrastructural analysis and histomorphometry of collagen bundles in the periodontal ligament using focused ion beam/scanning electron microscope tomography,focused ion beam; scanning electron microscope tomography (FIB; SEM tomography); quantitative analysis; ultrastructure,JAN,2020,
Inhibition of transglutaminase activity in periodontitis rescues periodontal ligament collagen content and architecture,dental biology; extracellular matrix; noncollagenous proteins; periodontal disease; second-harmonic generation imaging,JAN,2020,
Effects of strontium ranelate on ligature-induced periodontitis in estrogen-deficient and estrogen-sufficient rats,alveolar bone loss; osteocalcin; osteopontin; osteoprotegerin; ovariectomy; RANK ligand; strontium ranelate,JAN,2020,
"Tooth loss in individuals under periodontal maintenance therapy: 5-year prospective study (vol 49, pg 121, 2014)",,JAN,2020,
"FOXP3+and CD25+cells are reduced in patients with stage IV, grade C periodontitis: A comparative clinical study",immunohistochemistry; immunology; periodontitis; Tregs,JUN,2020,
Validation of self-reported measures of periodontitis in a Spanish Population,di@bet; es study; epidemiology; oral health surveys; periodontitis,JUN,2020,
The therapeutic role of baicalein in combating experimental periodontitis with diabetes via Nrf2 antioxidant signaling pathway,adjunctive periodontal therapy; antioxidants; diabetes; oxidative stress,JUN,2020,
Evaluation of apoptosis and hypoxia-related factors in gingival tissues of smoker and non-smoker periodontitis patients,apoptosis; hypoxia; smoking,JUN,2020,
Long non-coding RNA and mRNA expression profiles in peri-implantitis vs periodontitis,lncRNA; microarray; peri-implantitis; periodontitis; transcriptome,JUN,2020,
Progranulin promotes osteogenic differentiation of human periodontal ligament stem cells via tumor necrosis factor receptors to inhibit TNF-alpha sensitized NF-kB and activate ERK/JNK signaling,osteogenic differentiation; periodontal disease; periodontal ligament stem cell; progranulin; tumor necrosis factor receptors,JUN,2020,
A 3-year prospective clinical and patient-centered trial on subepithelial connective tissue graft with or without enamel matrix derivative in Class I-II Miller recessions,enamel matrix proteins; gingival recession; pain level; periodontal plastic surgical flaps,APR,2020,
Effects of resveratrol on bone-healing capacity in the mouse tooth extraction socket,bone formation; drug efficacy; resveratrol; tooth extraction,APR,2020,
To what extent does smoking affect gingival bleeding response to supragingival plaque? Site-specific analyses in a population-based study,dental plaque; gingival bleeding on probing; multilevel analysis; smoking,APR,2020,
Influence of supracrestal tissue attachment thickness on radiographic bone level around dental implants: A systematic review and meta-analysis,connective tissue; dental implants; soft tissue; supracrestal tissue attachment; systematic review,DEC,2019,
Cationic antimicrobial peptides and periodontal physiopathology: A systematic review,antimicrobial peptides; biomarkers; pathogeny; periodontal diseases,DEC,2019,
Efficacy of toothbrushing procedures performed in intensive care units in reducing the risk of ventilator-associated pneumonia: A systematic review,artificial; chlorhexidine; dental plaque; pneumonia; respiration; toothbrushing; ventilator-associated,DEC,2019,
Calcitriol suppresses lipopolysaccharide-induced alveolar bone damage in rats by regulating T helper cell subset polarization,bone loss; calcitriol; immunomodulation; T helper cell polarization,DEC,2019,
"Evaluation of the effect of oleuropein on alveolar bone loss, inflammation, and apoptosis in experimental periodontitis",alveolar bone; BMP-4; CD-68; experimental periodontitis; oleuropein; TRAP,DEC,2019,
The influence of high-dose systemic zoledronate administration on osseointegration of implants with different surface topography,bisphosphonate; osseointegration; surface topography,DEC,2019,
Hyaluronic acid slows down collagen membrane degradation in uncontrolled diabetic rats,collagen membrane; diabetes mellitus; guided bone regeneration; hyaluronic acid,DEC,2019,
Transcriptome analysis of gingival tissues of enamel-renal syndrome,enamel; gingival hyperplasia; RNA sequencing; transcriptome,DEC,2019,
The host defense peptide LL-37 is internalized by human periodontal ligament cells and prevents LPS-induced MCP-1 production,antimicrobial peptide; inflammation; innate immunity; NF-kappa B,DEC,2019,
Relationship between serum 25-hydroxyvitamin D-3 levels and severity of chronic periodontitis in type 2 diabetic patients: A cross-sectional study,age; diabetic periodontitis; fasting blood glucose; IL-1 beta; PTPN2; vitamin D-3,DEC,2019,
Effects of L-PRF and A-PRF plus on periodontal fibroblasts in in vitro wound healing experiments,gingival fibroblasts; periodontal ligament fibroblasts; periodontal regeneration; PRF; wound healing,APR,2020,
Netrin-1 and its receptor Unc5b as markers of periodontal disease,cellular immunology; gingival crevice fluid; inflammation; macrophages; nonsurgical periodontal therapy; periodontal disease,APR,2020,
Titanium particles and ions favor dysbiosis in oral biofilms,biofilms; ions; particle; titanium,APR,2020,
Heat-killed Lactobacillus reuteri and cell-free culture supernatant have similar effects to viable probiotics during interaction with Porphyromonas gingivalis,Galleria mellonella; Lactobacillus reuteri; Paraprobiotics; Porphyromonas gingivalis; probiotics,APR,2020,
Resident memory T cells: Possible players in periodontal disease recurrence,cellular immunity; gingiva; periodontitis; T cells,APR,2020,
Common mental disorder is associated with periodontitis,epidemiology; mental health; oral medicine; periodontal diseases,APR,2020,
Biomaterial-based possibilities for managing peri-implantitis,biomaterials; dental implants; peri-implantitis,APR,2020,
Effect of ILK on small-molecule metabolism of human periodontal ligament fibroblasts with mechanical stretching,amino acid; human periodontal ligament fibroblast (HPDLF); integrin-linked kinase (ILK); mechanical stretching; metabolism; organic acid,APR,2020,
Azurocidin in gingival crevicular fluid as a potential biomarker of chronic periodontitis,azurocidin; biomarker; gingival crevicular fluid; periodontitis,APR,2020,
Wnt5a is involved in LOX-1 and TLR4 induced host inflammatory response in peri-implantitis,inflammatory lesion; P gingivalis; peri-implantitis; Wnt5a,APR,2020,
Genetics of Periodontitis without Bias,,OCT,2019,
Response to Genetics of Periodontitis without Bias,,OCT,2019,
Quality of methods and reporting in association studies of chronic periodontitis and IL1A -889 and IL1B +3953/4 SNPs: A systematic review,chronic periodontitis; interleukin-1; methods; quality,OCT,2019,
Self-assembling polymeric dendritic peptide as functional osteogenic matrix for periodontal regeneration scaffolds-an in vitro study,barrier membrane; dendritic peptide; electrospun polycaprolactone; periodontal ligament cells; periodontal regeneration; polydiacetylenes,OCT,2019,
Heat shock protein 70 dampens the inflammatory response of human PDL cells to mechanical loading in vitro,heat shock protein; human PDL cells; inflammatory response; inhibitor VER155008; mechanical loading; monocyte physiology,OCT,2019,
